項目別,意味別,備考,見出し,,音韻,トーン,品詞,ページ,分類,意味,同義語など,活用,語源,音変化,関連語,追加情報,例文１,訳１,例文２,訳２,例文３,訳３,,,,,,,,,,,,,,,,
1441,1,〔他動詞〕要検討。,ふん,2,[ha-],A,(動詞),243,,〔他動詞〕(~を)食べる。,,〔活用〕 はぬん〈食べない〉(否定)はみるん〈食べさせる〉(使役) はい〈食べて〉(連用) はん〈食べた〉(完了) はたん〈食べた〉(過去) ふー〈食べる〉(連体) はいば〈食べれば〉(条件1) ふば〈食べれば〉(条件2) はい〈食べろ〉(命令) ほー〈食べよう〉(意志) はんな〈食べるな〉(禁止),(語源)日 本語クラウ〈食らう〉に対応。,[kuraw->hura'->ha-],,,【例】「くぬ まいさるまみや はりるんな?」「はにぬんでぃや。 どぅく あ ん」,〈「この大きな豆は食べられるの」「食べられないよ。毒がある」〉,うぬ  んにんや ちゃーぬ はにぬん,〈このミカンはすっぱくて食べられない〉, くんてぃぬ むぬ はいよ,〈栄養のあるものを食べなさいよ〉,までぃ は い=みぬたや はやぐ はい,〈まだ食べてなかったら早く食べなさい〉,んだんか゚ はぬたや あんか゚ ふん,〈君が食べないなら僕が食べる〉,まー  いー はいんでぃ ひるな?,〈そろそろご飯を食べに行こうか?〉,,,,,,,,,,
1181,1,,ぬむん,,[num-],B,(動詞),205,,飲む。,,〔活用〕 ぬまぬん〈飲まない〉(否定)ぬまみるん〈飲ませる〉(使役) ぬみ〈飲んで〉(連用) ぬみゃん〈飲んだ〉(完了) ぬみたん〈飲んだ〉(過去) ぬむ〈飲む〉(連体) ぬみゃ〈飲めば〉(条件1) ぬむば〈飲めば〉(条件2) ぬみ〈飲め〉(命令) ぬも〈飲もう〉(意志) ぬむんな〈飲むな〉(禁止),(語源)日本 語ノム〈飲む〉に対応。,[nom->num-],,,【例】つり ぬみゃな?,〈薬は飲んだの?〉,みん ぬみぶさん,〈水が飲みた い〉,さぎ ぬむばん さぎんき ぬまりんな,〈酒を飲んでも酒に飲まれる な〉,あがみや さぎ ぬみ=つぁぬん,〈子供は酒が飲めない〉,,,,,,,,,,,,,,
1131,1,,なるん,1,[nar],B,(動詞),196,,(1)なる。ある状態に至る。,,〔活用〕 ならぬん〈ならない〉(否定)ならみるん〈ならせる〉(使役) ない〈なって〉(連用) なん〈なった〉(過去) なたん〈なった〉(過去) なる〈なる〉(連体) なりゃ〈なれば〉(条件1) なるば〈なれば〉(条件2) なろ〈なろう〉(意志) なんな〈なるな〉(禁止),,,,,【例】うぶとぅ なるん,〈大人になる〉,あまてぃし どぅる ない,〈あっと いう間に夜になっている〉,だぐがら はびるんき ない,〈サナギから蝶 になった〉,,,,,,,,,,,,,,,,
1058,1,例文なし,とぅらん,,[turas-],B,(動詞),186,,くれる。やる。あげる。与える。,,〔活用〕 とぅらぬん〈くれない〉(否定) とぅらし〈くれて〉(連用)とぅらしゃん〈くれた〉(完了) とぅらたん〈くれた〉(過去)とぅら〈くれる〉(連体)とぅらいば〈くれれば〉(条件(1))とぅらば〈くれれば〉(条件(2))とぅらい〈くれ〉(命令)とぅろ〈くれよう〉(意志)とぅらんな〈くれるな〉(禁止),,,,,【例】あんか゚ んなに ふさ きーぶたば とぅらしゃん,〈私の着物を欲しがっていたのであげたよ〉,すんく゚てぃ とぅらんがら べんきょ きりよ,〈本をあげるから勉強しなさいよ〉,,,,,,,,,,,,,,,,,,
903,1,,つん,1,[C-],A,(動詞),161,,知る。,,〔活用〕 つぁぬん〈知らない〉(否定) つぁみるん〈知らせる〉(使役)ちてぃ〈知って〉(連用)つたん〈知った〉(過去) つる〈知る〉(連体) つりゃ〈知れば〉(条件1) つるば〈知れば〉(条件2) つろ〈知ろう〉(意志) つんな〈知るな〉(禁止),(語源)日本語シル〈知る〉に対応。,[sir->C-],,,【例】あぬや どぅなんちまぬ くとぅどぅ あいんか゚しや どぅんぐる つ んど ,〈私は与那国島のことでしたらたいがい知っていますよ〉,んだや  つない?,〈君は知っているの?〉,つぁぬたや いてぃてぃ ならい=こー,〈知らなければ行って習ってきなさい〉,かりや むぬぐとぅ みぬんがら  でぃんぶん つぁみどぅ なる,〈彼はものごと(常識や判断力など)がないか ら常識を教えないといけない〉,,,,,,,,,,,,,,
596,1,,くん,3,[ku-],B,(動詞),117,,来る。不規則動詞。,,〔活用〕 くぬん〈来ない〉(否定) くらみるん〈来させる〉(使役)しー〈来て〉(連用) すん〈来た〉(完了) すたん〈来た〉(過去) くー〈来る〉(連体) くりゃ〈来れば〉(条件1) くば〈来れば〉(条件2) くー〈来い〉(命令) くー〈来よう〉(意志)くんな〈来るな〉(禁止),(語源)日本語クル〈来る〉に対応。,,,,【例】ない くんどー。 まてぃ,〈やがて来るよ。待ちなさい〉,,,,,,,,,,,,,,,,,,,,
511,1,,きるん,1,[kir-],A,(動詞),104,,する。日本語の「する」と同様に軽動詞としても広く用いられる。,,〔活用〕 きらぬん〈しない〉(否定)きみるん〈させる〉(使役) きてぃ〈して〉(連用) きゃん〈した〉(完了) きたん〈した〉(過去) きる〈する〉(連体) きりゃ〈すれば〉(条件 1) きるば〈すれば〉(条件 2) きり〈しろ〉(命令) きろ〈しよう〉(意志) きんな〈するな〉(禁止),(語源)日本語スルに対応する古形「しるん」 からの変化か。,[*se->ser->sir->kir-],,,【例】しかま きるん,〈仕事をする〉,かだい きるん,〈匂いがする〉,ひゃ ぐまんや きるん,〈百万はする〉,,,,,,,,,,,,,,,,
278,1,,うとぅぐん,,[uTug-],B,(動詞),70,,置く。,,〔活用〕 うとぅがぬん〈置かない〉(否定) うとぅがみるん〈置かせる〉(使役)うとぅてぃ〈置いて〉(連用) うとぅてゃん〈置いた〉(完了) うとぅてぃたん〈置いた〉(過去) うとぅぐ〈置く〉(連体) うとぅぎゃ〈置けば〉(条件1) うとぅぐば〈置けば〉(条件2) うとぅぎ〈置け〉(命令) うとぅごー〈置こう〉(意志) うとぅぐんな〈置くな〉(禁止),,,,,【例】だ-とぅぐんき はないき うとぅぐん,〈床の間に花瓶を置く〉,むてぃ=ぶる むぬや うまんき うとぅぎ,〈持っているものはここに置きなさい〉,,,,,,,,,,,,,,,,,,
222,1,,いるん,2,[is-],B,(動詞),61,,する。やる。対象が漠然としているときに用いる。,〔類〕きるん,〔活用〕 いらぬん〈しない〉(否定) いしみるん〈させる〉(使役)いしてぃ〈して〉(連用) いしゃん〈した〉(完了) いたん〈した〉(過去) いる〈する〉(連体) いりゃ〈すれば〉(条件 1) いるば〈すれば〉(条件 2) いり〈しろ〉(命令) いろ〈しよう〉(意志) いんな〈するな〉(禁止),,,,,【例】あんか゚ いるん,〈私がする〉,うー いし=うとぅぎよ,〈これをしておけ よ〉,いしぶさんでぃどぅ んどぅりゃ いしみりゃ はい,〈やりたいと言っているからさせてみては〉,ぬーん くーん いしぶさ=きる あがみどぅ  あんすや,〈なんでもかんでもやりたがる子供だね〉,うやぬ みみ きぶり や いしみ=うとぅぎ,〈親の真似をしているのでやらせておきなさい〉,ん たるに いしゃんさい,〈言ったようにやったでしょう〉,いしぶさる むぬ んか゚ あいんか゚しゃ ‘たみ=とぅらい。 きー=うやんがら,〈やりたいことが あるなら教えてください、やってさしあげますから〉,かりんか゚ あたんてぃ ん うぬ さぐや いし=つん,〈彼でもこの程度ならできる〉,,,,,,
140,1,,〜あん,,[aN],,(助動詞),49,,~(で)ある。~だ。,,〔活用〕 あらぬん〈~でない〉(否定) あらみるん〈~であらせる〉(使役)あい〈~であって〉(連用) あたん〈~であった〉(過去) ある〈~である〉(連体) ありゃ〈~であれば〉(条件1) あるば〈~であれば〉(条件2),(語源)沖縄方言ヤン /(1)yaN/ に対応。,,,,【例】あんか゚ いやや むらぬ きんぐいぬ ちすどぅ あたる,〈私の父は村の狂言の師匠だった〉,んだんか゚ んどぅんすにどぅ あいどぅ ぶんか゚  かりや んどぅ=くとぅ ‘かぬんすや,〈君の言う通りであるのだが、彼は言 うことを聞かないのだ〉,くにぬ はなし んだんか゚ んどぅんにどぅ あ たりばん,〈この間の話あなたが言うとおりだったんだね〉,うんに あたん てぃん あぬや がってぃん きらぬん,〈そうであっても私は納得できない〉,,,,,,,,,,,,,,
