項目別,意味別,備考,見出し,,音韻,トーン,品詞,ページ,分類,意味,同義語など,活用,語源,音変化,関連語,追加情報,例文１,訳１,例文２,訳２,例文３,訳３,,,,,,,,,,,,,,,,
414,1,,かてぃむぬ,,[kaTimunu],A,(名詞),91,,おかず。副食。,,,(語源)カテモノ〈添え物〉に対応。,,,,【例】つまどぅぎぬ かてぃむぬ まーたんすや ぬんにてぃ  ‘くたんか゚?,〈昼食のおかずとてもおいしかったね、どうやって作ったの?〉,,,,,,,,,,,,,,,,,,,,
415,1,,かどぅ,1,[kadu],B,(名詞),91,,易(えき)。日より。(易で)方角。(易で)年回り。,,,,,,,【例】かどぅ あてぃ,〈家の建築などにあたって日和を選ぶ〉(関連用語)かどぅあたい,〈易で方角や年回り がいいこと〉,かどぅなとぅ,〈(易で)その年縁起がよいとされる人〉,かどぅ むぬん,〈年中行事の一つ。最初に行われる物忌み祭。田植えが終わった旧暦 2 月、稲が無事に育つよう祈願する〉,,,,,,,,,,,,,,,
416,1,,かどぅ,2,[kadu],B,(名詞),91,,気難しい性格。,,,,,,,【例】かどぅ=すさる=とぅ,〈気むずかしい人〉,,,,,,,,,,,,,,,,,,,,
417,1,,かとぅん,,[kaT-],B,(動詞),91,,勝つ。,,,(語源)日本語カツ〈勝つ〉に対応。,,,,【例】くんどぅぬ いくつぁや かっとぅん,〈今度のたたかいは勝つ〉,ばやぬ うちや うちあやみ すぶんく゚とぅ くどぅぬ いてぃばん う ちんき かてぃ,〈我が家の牛は闘牛大会で、去年のチャ ンピオンに勝った〉 ,まいさる ‘とぅんか゚どぅ かとぅ=はでぃや,〈大きい人が勝つだろうね〉,,,,,,,,,,,,,,,,
418,1,例文なし,かなん,,[kanaN],A,(名詞),91,,髪の毛。「からん」とも。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,1,,かに,,[kani],A,(名詞),91,,社会的な規範。常識。理性。,,,(語源)日本語カネ〈矩〉に対応。,[kane>kani],,,【例】 わ ば ん ぐ と ぅ=ば が い   ん ど ぅ ん す や   か に はんでぃどぅ=ぶる,〈余計なことばかり言うね、常識にはずれている〉,,,,,,,,,,,,,,,,,,,,
420,1,,かにうちんま,,[kani'uCi'Nma],,(名詞),91,,田を踏ませるときの馬。「かにうち」とは、「たーんみ」〈牛に田を踏ませること〉の際、横並びの列の一番外側に配置した若い牛のこと。,,,,,,,【例】たー んむ んでぃん どぅなんんま かにうちんまんでぃ ‘くー=ばすん あたん,〈牛に田を踏ませる際、(スピードを上げるために)与那国馬を一番外側の牛の代わりに使うこともあった〉,,,,,,,,,,,,,,,,,,,,
421,1,,かにん,,[kaniN],A,(名詞),92,,(1)金。金属。,,,,,,,【例】ちゃるむぬや かにん-たらいんき ‘きー=うとぅぎ,〈着たものは金だらいに浸けておけ〉,,,,,,,,,,,,,,,,,,,,
421,2,,かにん,,[kaniN],A,(名詞),92,,(棒踊りや舞踊で使用される)銅鑼。,,,(語源)日本語カネ〈金・鐘〉に対応。,,(関連用語)かにでぃん〈金属製の貨幣。硬貨〉/かにんなび〈金属製の鍋〉/ かにんひら〈鉄製のへら〉/かにんぱんか゚い〈長い木製の板、「さき」という金 具からなる鍬〉/どぅらがにん〈銅鑼鉦〉,,【例】 んぬん かにん うてぃ だーならし きるんすどぅ まちりぬ すぶんく゚ とぅ はでぃまいぬ あいでぃ,〈太鼓、鉦を打って座ならしをするのが祭りの勝負事(行事)の始まりの合図である〉,,,,,,,,,,,,,,,,,,,,
422,1,,かぬ,,[kanu],B,(指示詞),92,,あの。,,,,,,,【例】うみ うとぅてぃ ある むぬや かぬとぅぬ むぬど,〈ここに置いてあるものはあの人のものだよ〉,,,,,,,,,,,,,,,,,,,,
423,1,,‘かぬん,,[Kana-],B,(動詞),92,,(1)飼う。,,,,,,,【例】いぬてぃ ‘かぬん,〈子犬を飼う〉,,,,,,,,,,,,,,,,,,,,
423,2,,‘かぬん,,[Kana-],B,(動詞),92,,育てる。,,,(語源) 沖 縄 方 言 ツ ィ カ ナ ユ ン /cikanayuN/ に 対 応。,[tukanaw->cikana'->s(i)Kana- >Kana-],,,【例】あはり き どぅ ‘かない ふどぅらし=すんす,〈苦労して大きく育ててきた〉,,,,,,,,,,,,,,,,,,,,
424,1,,がば,,[gaba],C,(名詞),92,,(1)垢(あか)。,,,,,,,【例】んだ うちや がば むいどぅ=ぶんす。 みん あんし みりよ,〈あなたの牛は垢が生えているようだよ。水を浴びせなさい〉,,,,,,,,,,,,,,,,,,,,
424,2,,がば,,[gaba],C,(名詞),92,,雲脂(ふけ)。,,,,,,,【例】みんぶるに がば はい=つぁり きゃーどぅ ある,〈頭にふけが多く出てかゆい〉,,,,,,,,,,,,,,,,,,,,
425,1,,かばるん,,[kabar-],A,(動詞),92,,(1)変わる。,,,,,,,【例】どぅぬなが かばるん,〈世の中が変わる〉,しんごーんか゚  あががら みでぃるんき かばい,〈信号が赤色から青色に変わった〉,,,,,,,,,,,,,,,,,,
425,2,,かばるん,,[kabar-],A,(動詞),92,,代わる。,,,,,,,【例】いや かばい あぶたんか゚ とぅんでぃるん,〈父の代わり、母が出席する〉,,,,,,,,,,,,,,,,,,,,
425,3,,かばるん,,[kabar-],A,(動詞),92,,違う。,,,(語源)日本語カワルに対応。,[kawar->kabar-],,,【例】 ば や ぬ   ば ぶ り=ぶ る   ん が な と ぅ や   か ば い=ぶん,〈私の家の生い茂っているニガナとは違っている〉,,,,,,,,,,,,,,,,,,,,
426,1,,かび,,[kabi],A,(名詞),93,,紙。,,,(語源)沖縄方言カビ /(1)kabi/ に対応。,,(関連用語)かびでぃん〈紙銭〉/かびはぐ〈紙箱〉,,【例】あんか゚ あさぬ どぅにどぅ かいだでぃがら かびんき でぃー  かぐんに なったんでぃ んどぅんさい,〈私のおじいさんの時代にカイダー字から紙に文字を書くようになったというよ〉,,,,,,,,,,,,,,,,,,,,
427,1,,かぶだぐん,,[kabudag-],,(動詞),93,,抱く。抱える。,,,,,,,【例】あがみ しーみ かぶだぐん,〈子供をしっかりと抱く〉,,,,,,,,,,,,,,,,,,,,
428,1,,かぶち,,[kabuCi],B,(名詞),93,,頭当て。頭上運搬のときに荷物の下に敷く輪。,,,(語源)沖縄(伊江島)方言カブシリ /kabusi]ri/ に対応。,[kabusiri>kabusii>kabu Ci],,,【例】かぶちや んばぬは ば ら かやどぅ くばぬはし まてぃてぃ ‘くい=ぶたる,〈頭当てはカニクサ、藁、カヤ、クバ(ビロウ)の葉で巻いて作っていた〉,ばぎ しっぱいな い りゃる うんてぃ かぶち うとぅてゃる みんぶるんき ぬし くやし=ぶたる,〈ザルいっぱいに入れた芋を、頭当てを置いた頭に載せ運んでいた〉,,,,,,,,,,,,,,,,,,
429,1,例文なし,かぶん,,[kab-],A,(動詞),93,,嗅(か)ぐ。匂いを嗅ぐ。,,,(語源)奄美(与論)方言ハビュ ン /habyuN/ に対応。,,,,,,,,,,,,,,,,,,,,,,,,,
430,1,,かま,1,[kama], ,(名詞),93,,相性。性格,,,,,,,【例】んだとぅや かま あたるんすや,〈あなたとは相性がいいね〉,,,,,,,,,,,,,,,,,,,,
431,1,,かま,2,[kama],A,(指示詞),93,,あそこ。あちら。向こう。あの場所。,,,,,,,【例】かまや とゎーるゆんがら ひら ぬん,〈あそこは遠いので行かない〉,,,,,,,,,,,,,,,,,,,,
432,1,,がま,,[gama],A,(名詞),93,,洞窟(どうくつ)。横洞。,〔同〕だや。縦洞は「あぶ」。,,,,,,【例】いくつぁぬ ばすや  がまんき ひなん きー=ぶたるど,〈戦争の時は洞穴に避難していたんだよ〉,,,,,,,,,,,,,,,,,,,,
433,1,,かま-くま,,[kamakuma], ,(副詞),93,,あちこち。,,,,,,,【例】あがみんたが かまくま んたびむぬ ふいつぁらし なら ぬんすや ,〈子供たちがあちこちにおもちゃを散らかしてどうにもならない〉,,,,,,,,,,,,,,,,,,,,
434,1,,かまどぅ,,[kamadu],A,(名詞),94,,竈(かまど)。,〔同〕かまどぅてぃ,,,,,,【例】うぶ-かまどぅ ‘くるん,〈大鍋用のかまどを造る〉,,,,,,,,,,,,,,,,,,,,
435,1,例文なし,かみ,1,[kami],B,(名詞),94,〔動物〕,海亀(ウミガメ)。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,1,,かみ,2,[kami],C,(名詞),94,,瓶・甕(かめ)。,,,,,,,【例】さぎ-かみんた んす=かみんた すゆ-かみんた い るんな かみ うてぃんき うとぅてぃ ‘かい=ぶたる,〈酒瓶、味噌瓶、醤油瓶などいろいろな瓶を二番座の裏の部屋に(まとめて)置いて使っていた〉(関連用語)うんてぃくでぃかみ,〈芋くずを入れておく瓶〉,さぎ-かみ ,〈酒を入れておく瓶。酒甕。一石入り、四斗入り、五升入りなどの甕がある〉,さた=かみ,〈黒糖を入れておく瓶〉,すゆ-かみ,〈醤油を入れておく瓶〉, ます=かみ,〈塩を入れておく瓶〉,みん-かみ,〈水を入れておく瓶〉,んす=かみ,〈味噌を入れておく瓶〉,,,,,,,
437,1,,かみ,3,[kami],A,(指示詞),94,,あそこに。向こうに。,,,,,,,【例】かみ やさい あんすやー。 うみばぎん あん どー。 くみん あんさい,〈向こうに野菜があるね。そこにもあるね。ここにもあるよ〉,かみ とぅばいんだぎ,〈あの場所で会おう〉,,,,,,,,,,,,,,,,,,
438,1,,かみるん,,[kamir-],B,(動詞),94,,(頭の上に載せて)運ぶ。,,,,,,,【例】んかち みぬんか゚や うんてぃ みんぶるんき かみてぃどぅ くやし=ぶたる,〈昔、女は芋を頭に載せて運んでいた〉,,,,,,,,,,,,,,,,,,,,
439,1,,かむん,,[kam-],,(動詞),94,,噛む。,,,,,,,【例】いーや しかっとぅ かみ はいよ,〈ご飯はしっかりと噛んで食べなさいよ〉,,,,,,,,,,,,,,,,,,,,
440,1,例文なし,かや,1,[kaya],A,(名詞),94,,(1)腕の付け根。ぶーぬばすにぶーぬどぅゆかやんぎりんでぃんでぃ=わたん〈棒踊りのときに、棒の紐を腕の付け根にかけろとおっしゃっていた〉/かやだみ〈腕の付け根が痛い〉,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,2,例文なし,かや,1,[kaya],A,(名詞),94,,関節痛。,,,(語源)本土方言カ ヤ〈神経痛〉に対応。,,,,,,,,,,,,,,,,,,,,,,,,,
441,1,,かや,2,[kaya],B,(名詞),95,〔植物〕,カヤ。イネ科の多年草本。茅葺(かやぶ)きの屋根や壁の材料にするほか、「しら」〈稲叢〉、敷物、俵、鍋蓋など、様々な用途があった。草を束にして、トウヅルモドキで巻き上げて鍋の蓋、籠、蓋付きの小物入れなどを作る。この物入れは貴重品や績んだ糸を入れるなどして使っていた/,,,(語源)日本語カヤ〈茅〉に対応。,,,,【例】んかちや  かやしどぅ だー ‘てぃー=ぶたる。 なびぬ ちんたん ‘くい=ぶたん,〈昔はカヤで家(の屋根)を葺いていた。鍋の蓋なども作っていた〉,かや かっ てぃんでぃ ひろー,〈茅を刈りに行こう〉,,,,,,,,,,,,,,,,,,
442,1,,〜かや,,[Kaya],,(助詞),95,,~か。疑問や反語を表す終助詞。,,,,,,,【例】んみ あるかや?,〈どこにあるのか?〉,あったん すーんに あっつあぁどぅ あるかや,〈明日も今日のように暑 いんだろうか〉,くとぅちや どぅがぬ=ちや いち ないぶかや?,〈今 年は四日の日(海神祭)はいつになるかね?〉,あんか゚ んたる=くとぅ ば がるかや?,〈私が言ったことは分かりますかね?〉,,,,,,,,,,,,,,
443,1,,かやだ,,[kayada],B,(名詞),95,,茅葺きの家。,,,(語源)日本語カヤ〈茅〉に対応。,,,,【例】かやだに んまりたば いち からだに くらりるかやん でぃ=ばがい うむい=ぶたん,〈茅葺きの家に生まれたため、いつになったら瓦葺きの家に住めるか、そんなことばかり考えていた〉,,,,,,,,,,,,,,,,,,,,
444,1,,かゆてぃ,,[kayuTi],C,(名詞),95,,小皿(古語)。小皿の最も小さいもの。,,,(語源)宮古方言カイスツ /kaisïcï/〈貝敷〉に対 応するか。,,,,【例】かゆてぃや あらーぐ ぐまび てぃ たー ちむぬやとぅ かゆいどぅ ないびどぅ うんにぬ なー  ‘かったるんでぃ んどぅんさい,〈かゆてぃはあまり小さくて、何回も台所に通わなければいけなかったので、そんな名(「かゆてぃ」と「かゆん」,〈通う〉 を掛けて)がついたらしいよ〉,,,,,,,,,,,,,,,,,,,
445,1,,かゆん,,[kayu-],A,(動詞),95,,通う。,,,(語源)日本語カヨウ〈通う〉に対応。,[kayow->kayo'->kayu-],,,【例】んかちや かつぬ みんぶる いらいんでぃ なやんき かゆい=ぶたんか゚,〈昔は鰹の頭をもらいに納屋(鰹節製造工場)へ通ったものだが〉,,,,,,,,,,,,,,,,,,,,
446,1,例文なし,から,,[kara],C,(名詞),96,,瓦(かわら()関連用語)かーらや〈瓦を焼くところ〉/びぎ-から〈牡瓦〉/みー-から〈牝瓦〉,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,1,,〜がら,,[gara],,(接辞),96,,~(だ)から。~(な)ので。終止形に接続して順接の意味を表す接辞。「~ゆんがら」が弱化して生じたか。,,,,,,,【例】まんく゚んか゚ すたがら ちむ ぬし  しゃな=きー=ぶんさい,〈孫が来たから機嫌を直し喜んでいるよ〉,,,,,,,,,,,,,,,,,,,,
448,1,,がら,,[gara],A,(名詞),96,,模様。,〔同〕あや,,,,,,【例】くぬ んなにぬ がらや あびゃんすや,〈この着物の模様はきれいだね〉,,,,,,,,,,,,,,,,,,,,
449,1,,からがん,,[karagas-],A,(動詞),96,,乾かす。,,,(語源)沖縄(今帰仁)方言ハー ラカスン /N/ に対応。,[karaŋi],,,【例】 あ ら む ぬ   か ら が ん ,〈洗濯物を乾かす〉, ん が い=ぶ ん が ら  からがい,〈濡れているから乾かせ〉,,,,,,,,,,,,,,,,,,
450,1,,からｎき゚,,[karaŋi],C,(名詞),96,,馬の鬣(たてがみ)。,,,,,,,【例】くぬ んまぬ からんき゚ぬ あびゃんすゆ,〈この馬のたてがみの綺麗なことよ〉,,,,,,,,,,,,,,,,,,,,
451,1,,からぐん,,[karag-],A,(動詞),96,,【完了形「からとぅん」】乾く。,,,,,,,【例】んなに からとぅん,〈着物が乾いた〉, しだり からぐん,〈タオルが乾く〉,,,,,,,,,,,,,,,,,,
452,1,,からだぎ,,[karadagi],B,(名詞),96,〔植物〕,マダケ。幹に弾力があり、ねばり強い。鰹船の釣り竿や筏をつくるのに使われた。タケノコ(筍)は食用になる。〈唐竹〉の意。,〔同〕んぶぐだぎ,,,,,,【例】 からだぎや うてぃ-たぶるに ある くんだぬ だまに んにたる=く とぅ あたんか゚ まいさる むぬや かつ ぱー んぶぐんき ‘かい=ぶ たん,〈マダケは内田原にあった古見家の森林で見たことがあったが、大きいものは鰹の釣り竿に使われていた〉,,,,,,,,,,,,,,,,,,,,
453,1,,がらち,,[garaCi],C,(名詞),96,〔鳥〕,カラス。,,,(語源)日本語カラス〈烏〉に対応。,[garasu >garasi>garaCi],,,【例】どぅなんちまにや はぶとぅ がらちや ぶらぬん,〈与那国島には、ハブとカラスはいない〉,,,,,,,,,,,,,,,,,,,,
454,1,,からはん,,[karahaN],C,(名詞),97,,裸足。,,,,,,,【例】ばんか゚ いびさるたや んなに ちてぃ からはんしどぅ がっ く かゆい=ぶたる,〈私たちが幼い頃は、着物を着て裸足で学校(尋常小学校)に通っていたものだ〉,,,,,,,,,,,,,,,,,,,,
455,1,,からん,,[karaN],C,(名詞),97,,髪。髪の毛。「かなん」とも。,,,(語源)沖縄方言カラジ /(0)karazi/ に対応。,,,,【例】からん うさんき゚り,〈髪に櫛を通しなさい〉,からん ちみてぃ=くたよ,〈散髪してくるよ〉,からん ぱし=とぅらし=われ,〈髪を切ってください〉,,,,,,,,,,,,,,,,
456,1,,からん　きんどぅん,,[karaN+kiNd-],C+A,(連語),97,,髪を梳(す)く。「からん」〈髪〉と「きんどぅん」〈梳る〉の連語。,,,,,,,【例】くちし  からん きんでぃ はい,〈櫛で髪を梳いたら〉,,,,,,,,,,,,,,,,,,,,
457,1,例文なし,からんはや,,[karaNhaya],B,(名詞),97,〔虫〕,カミキリムシ。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,1,,かり,,[kari],A,(指示詞),97,,(1)あれ。,,,,,,,【例】かりや ぬかや?,〈あれは何だ?〉,,,,,,,,,,,,,,,,,,,,
458,2,,かり,,[kari],A,(指示詞),97,,彼。,,,,,,,【例】かりや あてぃ  なるんど,〈彼は当てにしていいよ〉,かりんか゚ むぬどー,〈彼のものだよ〉,,,,,,,,,,,,,,,,,,
459,1,,‘かりるん,,[Karir-],A,(動詞),97,,聞こえる。「‘くん」〈聞く〉の可能形。,,,(語源)日本語キカレル〈聞かれる〉に対応。,[kikare->cikare(r)->s(i)Karer->Karir-],,,【例】 ば ん か゚   い び さ る た や   だ ー=か でぃがら ぬぬ うい=きー=ぶる うとぅんか゚ ‘かりたん,〈僕らが幼い頃は、家々から布を織っている音が聞こえたものだよ〉,,,,,,,,,,,,,,,,,,,,
460,1,,かるん,,[kar-],,(動詞),97,,刈る。,,,,,,,【例】あみてぃぬ つぁー かたん,〈道路の草を刈った〉,,,,,,,,,,,,,,,,,,,,
461,1,例文なし,かん,1,[kaN],B,(名詞),97,,神(かみ)。神様。,,,(語源)日本語カミ〈神〉に対応。,[kami>kaN],,,,,,,,,,,,,,,,,,,,,,,,
462,1,,かん,2,[kaN],B,(名詞),97,,上。,,,(語源)日本語カミ〈上〉に対応。,[kami>kaN],,,【例】かんぬ たー,〈上の田〉,みんぬ かん,〈上流。水源地〉,,,,,,,,,,,,,,,,,,
463,1,,かんがい,,[kaNgai],,(名詞),98,,考え。,〔同〕うむい,,,,,,【例】んだ かんがいや ばがん,〈君の考えは分かった〉,,,,,,,,,,,,,,,,,,,,
464,1,,かんがるん,,[kaNgar-],,(動詞),98,,考える。「かんがいるん」とも。,,,(語源)日本語カンガエル〈考える〉に対応。,[kaNga'e->kaNgair-...>kaNgar-],,,【例】むぬ かんがい きり,〈よく考えなさい〉,,,,,,,,,,,,,,,,,,,,
465,1,,かんぎるん,,[kaNgir-],B,(動詞),98,,背負う。負ぶう。,,,(語源)〈腰上げる〉の意か。,[*ko'age- >kaNge(r)->kaNgir-],,,【例】あがみ かんぎるん,〈子供をおんぶする〉,あぶ か んぎり,〈ばあさんをおんぶしなさい〉,,,,,,,,,,,,,,,,,,
466,1,例文なし,かんだ,,[kaNda],C,(名詞),98,〔植物〕,カズラ。,,,(語源)日本語カズラ〈蔓〉に対応。,[kazura>kaNda],,,,,,,,,,,,,,,,,,,,,,,,
467,1,例文なし,かんだい,,[kaNdai],C,(名詞),98,,燻製。(くんせい)。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,1,,かんだ=いゆ,,[kaNda+iyu], C+X,(名詞),98,,魚の干物。燻製にした魚。主にカジキの干物を指す。,,,,,,,【例】ぎょきょーに か んだいゆ ‘くい=ぶん,〈漁協で魚の干物を作っているよ〉,,,,,,,,,,,,,,,,,,,,
469,1,,かんどぅ,,[kaNdu],,(名詞),98,,勘定(かんじょう)。金銭などの計算。,〔同〕さんみん,,(語源)日本語カンジョ ウ〈勘定〉に対応。,[kaNzyau>kaNzyoo>kaNdu],(関連用語)かんどぅぬち〈給料日〉,,【例】いすんとぅんたぬ  かんどぅんでぃ んどぅんさい,〈漁師たちの(操業期間の)勘定だというよ〉,,,,,,,,,,,,,,,,,,,,
470,1,,がんどぅ,,[gaNdu],B,(名詞),98,,元気。壮健。,,,(語源)日本語ガンジョ ウ〈頑 丈〉に対応。,[*gaNzyou>gaNzyuu>gaNdu],,,【例】「がんどぅー きー=わるかや?」「ふがらさ、がんどぅ  きー=ぶんど,〈」お元気ですか。はい、元気です〉,,,,,,,,,,,,,,,,,,,,
471,1,,かんどぅん,,[kaNd-],B,(動詞),98,,被(かぶ)る。,,,(語源)日本語カブル〈被る〉に対応。,[kabur- >kaNd-],,,【例】くばがさ かんどぅん,〈クバ笠を被る〉,あつぁったば ぶーし かんでぃたん,〈暑かったので帽子を被った〉,うどぅ かんでぃ  にんどぅん,〈布団を被って寝る〉,,,,,,,,,,,,,,,,
472,1,,かんな,1,[kaNna],B,(名詞),99,,腕(うで)。人の体の肩から手首までの部位。,,,(語源)日本語カイナに対応。,,,,【例】あがみんか゚ むんどぅ  きー かんな ぶい=みぬんすや,〈子供がけんかをして腕を折ってしまったよ〉,,,,,,,,,,,,,,,,,,,,
473,1,,かんな,2,[kaNna],C,(名詞),99,,蟹(カニ)。,,,(語源)日本語カニ〈蟹〉に対 応。,[kani-a>kaNnya>kaNna],,,【例】かんなぬ あなんぷんき てぃー いりてぃ ぷいつぁりん なよー,〈カニの穴に手を入れてはさまれるなよ〉,,,,,,,,,,,,,,,,,,,,
474,1,,かんなくら,,[kaNnaKura],B,(名詞),99,,力持ち。,,,,,,,【例】ほー、うや かんなくらどぅ あんすや,〈ほう、これは力持ちじゃないか〉,,,,,,,,,,,,,,,,,,,,
475,1,,かんなり,,[kaNnari],B,(名詞),99,,雷。,,,(語源)日本語カミナリ〈雷〉に対応。,[kaminari>kaNnari],,,【例】かんなり ‘たらん‘たらん きー,〈雷がゴロゴロと鳴り響いている〉,,,,,,,,,,,,,,,,,,,,
476,1,,がんぬり,,[gaNnuri],B,(動名詞),99,,(大雨や台風で)海や川がとても濁っている様。「~=ぶん」で〈とても濁っている〉の意になる。,,,,,,,【例】たぶる がんぬり むぬ ならぬん,〈田原川が濁りきってどうにもならない〉,,,,,,,,,,,,,,,,,,,,
477,1,例文なし,かんぱ,,[kaNPa],C,(名詞),99,,小さな禿げ。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,1,例文なし,かんぱ-き,,[kaNPaki],C,(名詞),99,〔植物〕,モクタチバナ。昔は火種に使っていた。現在はお盆の供物「きぬない」の一つ。ヨナグニサンの食樹。かんぱち[kaNPaCi]B(名詞)傷跡。禿げ。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,1,,がんみるん,,[gaNmir-],,(動詞),99,,(身体を)曲げる。,,,,,,,【例】かんな がんみるん,〈腕を曲げる〉,はん がんみり,〈足を曲げろ〉,,,,,,,,,,,,,,,,,,
480,1,,きー,1,[ki],A,(名詞),100,,毛。体に生えている毛の総称。,,,(語源)日本語ケ〈毛〉に対応。,[ke> ki],,,【例】きー ぬんき゚どぅ=ぶる,〈毛が抜けている〉,はだぬ きー ぶんたい,〈鳥肌が立つ〉,,,,,,,,,,,,,,,,,,
481,1,,きー,2,[ki],B,(名詞),100,,木。樹木。,,,(語源)日本語キ〈木〉に対応。,[*ke>ki],(関連用語)きぬない〈木の実〉/き ぬ はー〈木の葉〉/きがら〈木片〉/ キダンキヤマ〈リュ ウキュ ウコクタ ンが多く生えている山の意。嶋仲の前の村があった場所。ナウンニ、アラガ の拝所があり、冬の嶋仲マチリには供物を供え、司の礼拝、祈願がある〉,,【例】するまい ないんか゚しや きぬない とぅいんでぃ ひー=ぶん,〈お盆前になると(お供えする)木の実を取りに行っている〉,うてぃ=ぶる きぬ はー はてぃ あちみゃん,〈落ちていた木の葉を掃き集めた〉,,,,,,,,,,,,,,,,,,
482,1,例文なし,きーうい,,[ki'ui],,(名詞),100,〔植物〕,キュウリの古語。現在では「うい」という。,〔同〕うい,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,1,,ぎー=きらにぬ=むぬ,,[gikiraninumunu], ,(名詞),100,,ひねくれ者。,,,,,,,【例】 あ ら ー ぐ   ぎ ー=き ら に ぬ=む ぬ ん た や   ち に   ぶ ー し  あやしどぅ きたる,〈まったく言うことを聞かない連中は、脛を棒で叩くことがあったよ〉,,,,,,,,,,,,,,,,,,,,
484,1,,きたｎき゚,,[kiTaŋi],,(名詞),100,,怪我(けが)。,,,,,,,【例】あいぐぅたし はん きたんき゚ みぬばん,〈歩いていて足を怪我してしまった〉,てぃはん きたんき゚ きみ=とぅらし=ひんなよー ,〈手足を怪我しませんように〉,,,,,,,,,,,,,,,,,,
485,1,,きち,,[kiCi],B,(名詞),100,,崖。断崖。,,,(語源)日本語キシ〈岸〉に対応。,[*kesi>kiCi],(関連用語)きちなり、きちなく゚い〈絶壁にあたって跳ね返る強い反射音〉,,【例】はいんき とぅんかりゃよ はいぬ きち ‘たらん ‘たらん し にちんき とぅんかりゃよ うらむてぃ ふぎるんにぶい,〈南に向かうと南の断崖に風があたってタァランタァランと鳴響(とよ)もしている。(かといって)北を向いても怒濤逆巻き島の裏表をほがすようだ。「どぅなんとぅばるま」の歌詞より〉,,,,,,,,,,,,,,,,,,,,
486,1,例文なし,ぎち,,[giCi],C,(名詞),101,,「ぎっち」とも。大根や瓜を泡盛に漬けたもの。漬け物。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,1,,きっとぅん,,[kiTus-],B,(動詞),101,,躓(つまず)く。足を引っかける。,,,,,,,【例】 い ち ぶ ぐ ん き   は ん   き っ と ぅ し   でぃどぅりてぃ ちでぃんか はでぃ=ぶんかし,〈石に足を引っかけ、つまづいて肘をはいでしまったよ〉,,,,,,,,,,,,,,,,,,,,
488,1,,きでぃ,,[kidi],A,(名詞),101,,傷。,,,(語源)日本語キズ〈傷〉に対応。,[*kezu>kezi>kedi>kidi],,,【例】つぁーあみてぃ あいぐたし てぃはん どぅしきぬ はーんき  きでぃ きらり,〈草の群がり生えた道を歩いたので手足をススキの葉に傷つけられた〉,,,,,,,,,,,,,,,,,,,,
489,1,,きでぃんつぁらん,,[kidiNCaras-],,(動詞),101,,騒ぎ回る。かき乱す。,,,,,,,【例】あがみんたんか゚ だー きでぃんつぁらし,〈子供たちが家で騒ぎ回っている〉,,,,,,,,,,,,,,,,,,,,
490,1,,きどぅｎき゚らん,,[kiduŋiras-],,(動詞),101,,蹴っ飛ばす。,,,,,,,【例】ボー ル きどぅんき゚らしゃん,〈ボールを蹴っ飛ばす〉,,,,,,,,,,,,,,,,,,,,
491,1,,きない,1,[kinai],A,(名詞),101,,家庭。所帯。,,,(語源)沖 縄方言チネー /(0)cinee/ に対応。,[kenai>kinai],,,【例】はやぐ きない むたみどぅ きらりる,〈早く家庭を持たせないといけない〉,かまや びんが-きない,〈向こうは男世帯だ〉,,,,,,,,,,,,,,,,,,
492,1,,きない,2,[kinai], ,(名詞),101,,キニーネ。マラリア治療薬。,,,,,,,【例】きない ぬみんか゚しや つりぬ いる な るんどー,〈キニーネを飲みすぎると、薬の色(黄色)になるよ〉,,,,,,,,,,,,,,,,,,,,
493,1,,きないどぅｎく゚,,[kinaiduŋu],,(名詞),101,,家財道具。,,,,,,,【例】んでぃや きないどぅんく゚ うぶさびてぃ いてぃたん,〈あなたの家は家財道具が多くて息苦しい〉,,,,,,,,,,,,,,,,,,,,
494,1,,きならぬむぬ,,[kinaranumunu],,(名詞),101,,怠(なま)け者。役立たず。,,,,,,,【例】うぬ きならぬむぬ こー,〈この役立たずめ〉,,,,,,,,,,,,,,,,,,,,
495,1,,きぬない,,[kinunai],B,(名詞),102,,果実。木の実〈木の生り〉の意。,,,(語源) キノナリ〈木の生り〉に対応。,[*kenonari>kenonai>kinunai],,,【例】 う ぶ-か で ぃ   て ぃ ば ら い   き ぬ な い   すーすどぅ あいち,〈台風が吹き荒れ木の実が呆れるほど落ちている〉,,,,,,,,,,,,,,,,,,,,
496,1,,きばな,,[kibana],,(名詞),102,,牛の鼻ぐり。牛の鼻に通す木製の手綱通し。,,,,,,,【例】うちや あだぬちんな きばなんき ぬたんき゚ なはなんな きてぃ あっかい=ぶたる,〈牛はアダンの気根の縄を牛の鼻ぐりに通し手綱にし扱っていたよ〉,,,,,,,,,,,,,,,,,,,,
